sg_uf;nm_municipio;ds_cargo;nr_turno;cd_cargo;pc_secoes_agregadas;pc_secoes_principais;pc_secoes_nao_instalada;pc_secoes_instalada;pc_comparecimento;pc_abstencoes;pc_votos_concorrentes;pc_votos_validos;pc_votos_nominais;pc_votos_legenda;pc_votos_anulados;pc_votos_anulado_subjud;pc_total_votos_nulos;pc_votos_nulos;pc_votos_nulo_tecnico;pc_votos_brancos;pc_vt_anulados_apu_sep;qt_aptos;qt_secoes_principais;qt_secoes_agregadas;qt_total_secoes;qt_comparecimento;qt_abstencoes;qt_votos_nom_validos;qt_votos_brancos;qt_votos_nulos;qt_total_vt_leg_validos;qt_vt_anulados_apu_sep;qt_total_votos_anulados;qt_votos_nulo_tecnico;qt_total_vt_anul_subjud;qt_votos_validos;qt_votos_concorrentes;qt_secao_nao_instalada;qt_elei_secao_nao_instal
AC;ACRELÂNDIA;Presidente;2;1;0,087;0,913;0;1;0,7267;0,2733;0,9793;1;1;0;0;0;0,0133;1;0;0,0074;0;9522;42;4;46;6920;2602;6777;51;92;0;0;0;0;0;6777;6777;0;0
AC;ASSIS BRASIL;Presidente;2;1;0,08;0,92;0;1;0,737;0,263;0,9794;1;1;0;0;0;0,0142;1;0;0,0064;0;6389;23;2;25;4709;1680;4612;30;67;0;0;0;0;0;4612;4612;0;0
AC;BRASILÉIA;Presidente;2;1;0,0779;0,9221;0;1;0,7581;0,2419;0,9823;1;1;0;0;0;0,0105;1;0;0,0072;0;18197;71;6;77;13795;4402;13551;99;145;0;0;0;0;0;13551;13551;0;0
AC;BUJARI;Presidente;2;1;0,0789;0,9211;0;1;0,6882;0,3118;0,9715;1;1;0;0;0;0,0156;1;0;0,0129;0;9948;35;3;38;6846;3102;6651;88;107;0;0;0;0;0;6651;6651;0;0
AC;CAPIXABA;Presidente;2;1;0,2619;0,7381;0;1;0,7083;0,2917;0,9838;1;1;0;0;0;0,0101;1;0;0,0061;0;7836;31;11;42;5550;2286;5460;34;56;0;0;0;0;0;5460;5460;0;0
AC;CRUZEIRO DO SUL;Presidente;2;1;0,0214;0,9786;0;1;0,7226;0,2774;0,9738;1;1;0;0;0;0,0151;1;0;0,0111;0;59210;229;5;234;42788;16422;41669;473;646;0;0;0;0;0;41669;41669;0;0
AC;EPITACIOLÂNDIA;Presidente;2;1;0;1;0;1;0,7492;0,2508;0,9805;1;1;0;0;0;0,0112;1;0;0,0083;0;12514;47;0;47;9376;3138;9193;78;105;0;0;0;0;0;9193;9193;0;0
AC;FEIJÓ;Presidente;2;1;0,0659;0,9341;0;1;0,6138;0,3862;0,9665;1;1;0;0;0;0,0239;1;0;0,0096;0;22749;85;6;91;13964;8785;13496;134;334;0;0;0;0;0;13496;13496;0;0
AC;JORDÃO;Presidente;2;1;0,087;0,913;0;1;0,6265;0,3735;0,9746;1;1;0;0;0;0,0186;1;0;0,0069;0;5590;21;2;23;3502;2088;3413;24;65;0;0;0;0;0;3413;3413;0;0
AC;MANOEL URBANO;Presidente;2;1;0;1;0;1;0,6504;0,3496;0,9761;1;1;0;0;0;0,018;1;0;0,0059;0;7775;27;0;27;5057;2718;4936;30;91;0;0;0;0;0;4936;4936;0;0
