codigo_cid;nome_cid;pl_1_turno;pl_2_turno;tratamento;uf;regiao
3550308;SÃO PAULO;0;1;1;SP;SE
3304557;RIO DE JANEIRO;1;1;0;RJ;SE
5300108;BRASÍLIA;0;1;1;DF;CO
2927408;SALVADOR;1;1;0;BA;NE
2304400;FORTALEZA;1;1;0;CE;NE
3106200;BELO HORIZONTE;0;1;1;MG;SE
1302603;MANAUS;1;1;0;AM;NO
4106902;CURITIBA;1;1;0;PR;SL
2611606;RECIFE;0;1;1;PE;NE
5208707;GOIÂNIA;0;1;1;GO;CO
1501402;BELÉM;0;1;1;PA;NO
4314902;PORTO ALEGRE;1;1;0;RS;SL
3518800;GUARULHOS;0;1;1;SP;SE
3509502;CAMPINAS;0;1;1;SP;SE
2111300;SÃO LUÍS;1;1;0;MA;NE
3304904;SÃO GONÇALO;0;1;1;RJ;SE
2704302;MACEIÓ;1;1;0;AL;NE
3301702;DUQUE DE CAXIAS;0;0;0;RJ;SE
5002704;CAMPO GRANDE;1;1;0;MS;CO
2408102;NATAL;0;1;1;RN;NE
2211001;TERESINA;0;1;1;PI;NE
3548708;SÃO BERNARDO DO CAMPO;0;1;1;SP;SE
2507507;JOÃO PESSOA;0;1;1;PB;NE
3303500;NOVA IGUAÇU;0;0;0;RJ;SE
3549904;SÃO JOSÉ DOS CAMPOS;0;1;1;SP;SE
3547809;SANTO ANDRÉ;0;1;1;SP;SE
3543402;RIBEIRÃO PRETO;0;1;1;SP;SE
2607901;JABOATÃO DOS GUARARAPES;0;1;1;PE;NE
3170206;UBERLÂNDIA;1;1;0;MG;SE
3534401;OSASCO;1;1;0;SP;SE
3552205;SOROCABA;0;1;1;SP;SE
3118601;CONTAGEM;0;1;1;MG;SE
2800308;ARACAJU;0;1;1;SE;NE
2910800;FEIRA DE SANTANA;0;1;1;BA;NE
5103403;CUIABÁ;0;1;1;MT;CO
4209102;JOINVILLE;0;0;0;SC;SL
5201405;APARECIDA DE GOIÂNIA;0;1;1;GO;CO
4113700;LONDRINA;0;1;1;PR;SL
3136702;JUIZ DE FORA;1;1;0;MG;SE
1100205;PORTO VELHO;1;1;0;RO;NO
1500800;ANANINDEUA;0;1;1;PA;NO
3205002;SERRA;0;1;1;ES;SE
4305108;CAXIAS DO SUL;1;1;0;RS;SL
1600303;MACAPÁ;0;1;1;AP;NO
3303302;NITERÓI;1;1;0;RJ;SE
4205407;FLORIANÓPOLIS;1;1;0;SC;SL
3300456;BELFORD ROXO;0;0;0;RJ;SE
3301009;CAMPOS DOS GOYTACAZES;0;0;0;RJ;SE
3205200;VILA VELHA;0;1;1;ES;SE
3529401;MAUÁ;0;1;1;SP;SE
3305109;SÃO JOÃO DE MERITI;0;0;0;RJ;SE
3549805;SÃO JOSÉ DO RIO PRETO;0;1;1;SP;SE
3530607;MOGI DAS CRUZES;0;1;1;SP;SE
3106705;BETIM;0;1;1;MG;SE
1400100;BOA VISTA;1;1;0;RR;NO
4115200;MARINGÁ;1;1;0;PR;SL
3548500;SANTOS;0;1;1;SP;SE
3513801;DIADEMA;1;1;0;SP;SE
3525904;JUNDIAÍ;0;0;0;SP;SE
1200401;RIO BRANCO;0;0;0;AC;NO
3143302;MONTES CLAROS;0;0;0;MG;SE
2504009;CAMPINA GRANDE;1;1;0;PB;NE
3538709;PIRACICABA;0;0;0;SP;SE
3510609;CARAPICUÍBA;0;1;1;SP;SE
5201108;ANÁPOLIS;0;0;0;GO;CO
2609600;OLINDA;0;1;1;PE;NE
3201308;CARIACICA;0;1;1;ES;SE
3506003;BAURU;0;0;0;SP;SE
3523107;ITAQUAQUECETUBA;0;1;1;SP;SE
3551009;SÃO VICENTE;0;1;1;SP;SE
3205309;VITÓRIA;0;1;1;ES;SE
2604106;CARUARU;0;0;0;PE;NE
2303709;CAUCAIA;0;1;1;CE;NE
4202404;BLUMENAU;0;0;0;SC;SL
2611101;PETROLINA;0;1;1;PE;NE
4119905;PONTA GROSSA;0;0;0;PR;SL
3516200;FRANCA;0;1;1;SP;SE
4304606;CANOAS;1;1;0;RS;SL
4314407;PELOTAS;1;1;0;RS;SL
2933307;VITÓRIA DA CONQUISTA;0;1;1;BA;NE
3154606;RIBEIRÃO DAS NEVES;0;1;1;MG;SE
3170107;UBERABA;0;1;1;MG;SE
2610707;PAULISTA;0;1;1;PE;NE
3541000;PRAIA GRANDE;0;1;1;SP;SE
4104808;CASCAVEL;0;1;1;SC;SL
4125506;SÃO JOSÉ DOS PINHAIS;0;1;1;PR;SL
3518701;GUARUJÁ;0;1;1;SP;SE
3554102;TAUBATÉ;0;1;1;SP;SE
1721000;PALMAS;1;1;0;TO;NO
3526902;LIMEIRA;0;1;1;SP;SE
2905701;CAMAÇARI;0;1;1;BA;NE
1506807;SANTARÉM;0;0;0;PA;NO
3303906;PETRÓPOLIS;1;1;0;RJ;SE
2408003;MOSSORÓ;0;1;1;RN;NE
3552502;SUZANO;0;1;1;SP;SE
