codigo_cid;nome_cid;passe_livre
3550308;SÃO PAULO;0
3304557;RIO DE JANEIRO;1
5300108;BRASÍLIA;0
2927408;SALVADOR;1
2304400;FORTALEZA;1
3106200;BELO HORIZONTE;0
1302603;MANAUS;1
4106902;CURITIBA;1
2611606;RECIFE;0
5208707;GOIÂNIA;0
1501402;BELÉM;0
4314902;PORTO ALEGRE;1
3518800;GUARULHOS;0
3509502;CAMPINAS;0
2111300;SÃO LUÍS;1
3304904;SÃO GONÇALO;0
2704302;MACEIÓ;1
3301702;DUQUE DE CAXIAS;0
5002704;CAMPO GRANDE;1
2408102;NATAL;0
2211001;TERESINA;0
3548708;SÃO BERNARDO DO CAMPO;0
2507507;JOÃO PESSOA;0
3303500;NOVA IGUAÇU;0
3549904;SÃO JOSÉ DOS CAMPOS;0
3547809;SANTO ANDRÉ;0
3543402;RIBEIRÃO PRETO;0
2607901;JABOATÃO DOS GUARARAPES;0
3170206;UBERLÂNDIA;1
3534401;OSASCO;1
3552205;SOROCABA;0
3118601;CONTAGEM;0
2800308;ARACAJU;0
2910800;FEIRA DE SANTANA;0
5103403;CUIABÁ;0
4209102;JOINVILLE;0
5201405;APARECIDA DE GOIÂNIA;0
4113700;LONDRINA;0
3136702;JUIZ DE FORA;1
1100205;PORTO VELHO;1
1500800;ANANINDEUA;0
3205002;SERRA;0
4305108;CAXIAS DO SUL;1
1600303;MACAPÁ;0
3303302;NITERÓI;1
4205407;FLORIANÓPOLIS;1
3300456;BELFORD ROXO;0
3301009;CAMPOS DOS GOYTACAZES;0
3205200;VILA VELHA;0
3529401;MAUÁ;0
3305109;SÃO JOÃO DE MERITI;0
3549805;SÃO JOSÉ DO RIO PRETO;0
3530607;MOGI DAS CRUZES;0
3106705;BETIM;0
1400100;BOA VISTA;1
4115200;MARINGÁ;1
3548500;SANTOS;0
3513801;DIADEMA;1
3525904;JUNDIAÍ;0
1200401;RIO BRANCO;0
3143302;MONTES CLAROS;0
2504009;CAMPINA GRANDE;1
3538709;PIRACICABA;0
3510609;CARAPICUÍBA;0
5201108;ANÁPOLIS;0
2609600;OLINDA;0
3201308;CARIACICA;0
3506003;BAURU;0
3523107;ITAQUAQUECETUBA;0
3551009;SÃO VICENTE;0
3205309;VITÓRIA;0
2604106;CARUARU;0
2303709;CAUCAIA;0
4202404;BLUMENAU;0
2611101;PETROLINA;0
4119905;PONTA GROSSA;0
3516200;FRANCA;0
4304606;CANOAS;1
4314407;PELOTAS;1
2933307;VITÓRIA DA CONQUISTA;0
3154606;RIBEIRÃO DAS NEVES;0
3170107;UBERABA;0
2610707;PAULISTA;0
3541000;PRAIA GRANDE;0
4104808;CASCAVEL;0
4125506;SÃO JOSÉ DOS PINHAIS;0
3518701;GUARUJÁ;0
3554102;TAUBATÉ;0
1721000;PALMAS;1
3526902;LIMEIRA;0
2905701;CAMAÇARI;0
1506807;SANTARÉM;0
3303906;PETRÓPOLIS;1
2408003;MOSSORÓ;0
3552502;SUZANO;0
3550308;SÃO PAULO;1
3304557;RIO DE JANEIRO;1
5300108;BRASÍLIA;1
2927408;SALVADOR;1
2304400;FORTALEZA;1
3106200;BELO HORIZONTE;1
1302603;MANAUS;1
4106902;CURITIBA;1
2611606;RECIFE;1
5208707;GOIÂNIA;1
1501402;BELÉM;1
4314902;PORTO ALEGRE;1
3518800;GUARULHOS;1
3509502;CAMPINAS;1
2111300;SÃO LUÍS;1
3304904;SÃO GONÇALO;1
2704302;MACEIÓ;1
3301702;DUQUE DE CAXIAS;0
5002704;CAMPO GRANDE;1
2408102;NATAL;1
2211001;TERESINA;1
3548708;SÃO BERNARDO DO CAMPO;1
2507507;JOÃO PESSOA;1
3303500;NOVA IGUAÇU;0
3549904;SÃO JOSÉ DOS CAMPOS;1
3547809;SANTO ANDRÉ;1
3543402;RIBEIRÃO PRETO;1
2607901;JABOATÃO DOS GUARARAPES;1
3170206;UBERLÂNDIA;1
3534401;OSASCO;1
3552205;SOROCABA;1
