codigo_cid;nome_cid;tratamento;uf;regiao
3550308;SÃO PAULO;1;SP;SE
3304557;RIO DE JANEIRO;0;RJ;SE
5300108;BRASÍLIA;1;DF;CO
2927408;SALVADOR;0;BA;NE
2304400;FORTALEZA;0;CE;NE
3106200;BELO HORIZONTE;1;MG;SE
1302603;MANAUS;0;AM;NO
4106902;CURITIBA;0;PR;SL
2611606;RECIFE;1;PE;NE
5208707;GOIÂNIA;1;GO;CO
1501402;BELÉM;1;PA;NO
4314902;PORTO ALEGRE;0;RS;SL
3518800;GUARULHOS;1;SP;SE
3509502;CAMPINAS;1;SP;SE
2111300;SÃO LUÍS;0;MA;NE
3304904;SÃO GONÇALO;1;RJ;SE
2704302;MACEIÓ;0;AL;NE
3301702;DUQUE DE CAXIAS;0;RJ;SE
5002704;CAMPO GRANDE;0;MS;CO
2408102;NATAL;1;RN;NE
2211001;TERESINA;1;PI;NE
3548708;SÃO BERNARDO DO CAMPO;1;SP;SE
2507507;JOÃO PESSOA;1;PB;NE
3303500;NOVA IGUAÇU;0;RJ;SE
3549904;SÃO JOSÉ DOS CAMPOS;1;SP;SE
3547809;SANTO ANDRÉ;1;SP;SE
3543402;RIBEIRÃO PRETO;1;SP;SE
2607901;JABOATÃO DOS GUARARAPES;1;PE;NE
3170206;UBERLÂNDIA;0;MG;SE
3534401;OSASCO;0;SP;SE
3552205;SOROCABA;1;SP;SE
3118601;CONTAGEM;1;MG;SE
2800308;ARACAJU;1;SE;NE
2910800;FEIRA DE SANTANA;1;BA;NE
5103403;CUIABÁ;1;MT;CO
4209102;JOINVILLE;0;SC;SL
5201405;APARECIDA DE GOIÂNIA;1;GO;CO
4113700;LONDRINA;1;PR;SL
3136702;JUIZ DE FORA;0;MG;SE
1100205;PORTO VELHO;0;RO;NO
1500800;ANANINDEUA;1;PA;NO
3205002;SERRA;1;ES;SE
4305108;CAXIAS DO SUL;0;RS;SL
1600303;MACAPÁ;1;AP;NO
3303302;NITERÓI;0;RJ;SE
4205407;FLORIANÓPOLIS;0;SC;SL
3300456;BELFORD ROXO;0;RJ;SE
3301009;CAMPOS DOS GOYTACAZES;0;RJ;SE
3205200;VILA VELHA;1;ES;SE
3529401;MAUÁ;1;SP;SE
3305109;SÃO JOÃO DE MERITI;0;RJ;SE
3549805;SÃO JOSÉ DO RIO PRETO;1;SP;SE
3530607;MOGI DAS CRUZES;1;SP;SE
3106705;BETIM;1;MG;SE
1400100;BOA VISTA;0;RR;NO
4115200;MARINGÁ;0;PR;SL
3548500;SANTOS;1;SP;SE
3513801;DIADEMA;0;SP;SE
3525904;JUNDIAÍ;0;SP;SE
1200401;RIO BRANCO;0;AC;NO
3143302;MONTES CLAROS;0;MG;SE
2504009;CAMPINA GRANDE;0;PB;NE
3538709;PIRACICABA;0;SP;SE
3510609;CARAPICUÍBA;1;SP;SE
5201108;ANÁPOLIS;0;GO;CO
2609600;OLINDA;1;PE;NE
3201308;CARIACICA;1;ES;SE
3506003;BAURU;0;SP;SE
3523107;ITAQUAQUECETUBA;1;SP;SE
3551009;SÃO VICENTE;1;SP;SE
3205309;VITÓRIA;1;ES;SE
2604106;CARUARU;0;PE;NE
2303709;CAUCAIA;1;CE;NE
4202404;BLUMENAU;0;SC;SL
2611101;PETROLINA;1;PE;NE
4119905;PONTA GROSSA;0;PR;SL
3516200;FRANCA;1;SP;SE
4304606;CANOAS;0;RS;SL
4314407;PELOTAS;0;RS;SL
2933307;VITÓRIA DA CONQUISTA;1;BA;NE
3154606;RIBEIRÃO DAS NEVES;1;MG;SE
3170107;UBERABA;1;MG;SE
2610707;PAULISTA;1;PE;NE
3541000;PRAIA GRANDE;1;SP;SE
4104808;CASCAVEL;1;SC;SL
4125506;SÃO JOSÉ DOS PINHAIS;1;PR;SL
3518701;GUARUJÁ;1;SP;SE
3554102;TAUBATÉ;1;SP;SE
1721000;PALMAS;0;TO;NO
3526902;LIMEIRA;1;SP;SE
2905701;CAMAÇARI;1;BA;NE
1506807;SANTARÉM;0;PA;NO
3303906;PETRÓPOLIS;0;RJ;SE
2408003;MOSSORÓ;1;RN;NE
3552502;SUZANO;1;SP;SE
